Ca_mV,N_mV,temp,K,K_mV,EC,N,time,pH,Ca,
-247.0,296.0,0.0,585.42,414.0,138.0,323.11,2015-04-02 12:30:09.250000,323.74,248.16,
-248.0,296.0,0.0,585.42,414.0,138.0,323.11,2015-04-02 12:30:10.255000,322.0,246.95,
-248.0,296.0,0.0,585.42,414.0,138.0,323.11,2015-04-02 12:30:11.260000,323.74,246.84,
-248.0,296.0,0.0,585.84,414.0,138.0,323.11,2015-04-02 12:30:12.266000,323.74,246.84,
-248.0,296.0,0.0,585.84,414.0,137.84,323.11,2015-04-02 12:30:13.271000,322.0,246.95,
-248.0,297.0,0.0,585.84,414.0,137.16,324.11,2015-04-02 12:30:14.308000,322.0,246.95,
-248.0,297.0,0.0,585.84,414.0,137.16,324.11,2015-04-02 12:30:15.314000,319.0,246.68,
-248.0,297.0,0.0,585.84,414.0,137.16,324.11,2015-04-02 12:30:16.319000,319.0,246.68,
-248.0,295.0,0.0,584.68,413.0,137.68,322.11,2015-04-02 12:30:17.325000,319.0,246.68,
-248.0,295.0,0.0,584.68,413.0,137.68,322.11,2015-04-02 12:30:18.330000,319.47,246.68,
-248.0,295.0,0.0,584.58,413.0,137.68,322.11,2015-04-02 12:30:19.335000,319.47,246.68,
-249.0,295.0,0.0,584.58,413.0,140.0,322.11,2015-04-02 12:30:20.378000,319.47,246.53,
-248.0,295.0,0.0,584.58,413.0,138.05,322.11,2015-04-02 12:30:21.384000,319.47,246.84,
-248.0,296.0,0.0,586.16,415.0,136.16,323.11,2015-04-02 12:30:22.388000,319.47,246.84,
-248.0,296.0,0.0,586.16,415.0,136.53,323.11,2015-04-02 12:30:23.393000,321.53,246.95,
-248.0,294.0,0.0,586.16,415.0,136.53,320.95,2015-04-02 12:30:24.399000,321.53,246.95,
-248.0,295.0,0.0,586.16,415.0,136.53,321.21,2015-04-02 12:30:25.404000,322.0,246.95,
-248.0,296.0,0.0,586.16,415.0,136.53,323.11,2015-04-02 12:30:26.451000,322.0,246.95,
-248.0,295.0,0.0,586.47,415.0,136.89,321.74,2015-04-02 12:30:27.456000,322.0,247.05,
